Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV4517,10,TV5124,10,,,9.418098E+00,0.4925,10,1,128,128,9.418098E+00,,<
TV4518,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV4520,9,,,,,0.000000E+00,0.9916,10,0,126,126,,,<
TV4524,10,TV5128,10,TV4300,9,1.029376E+01,0.4429,10,3,128,128,1.699428E+00,4.009237E+00,<
TV4525,9,,,,,0.000000E+00,0.8646,9,0,126,126,,,<
TV4526,9,,,,,0.000000E+00,0.9935,10,0,125,125,,,<
TV4528,10,TV4308,10,,,7.829525E+00,0.5239,10,1,128,128,7.829525E+00,
TV4532,7,TV4546,10,TV4533,10,2.464123E+01,0.4446,7,0,121,121,1.297691E+01,1.518874E+01
TV4533,10,TV4546,10,TV4532,7,2.288419E+01,0.4997,10,1,128,128,1.121987E+01,1.518874E+01,<
TV4536,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV4537,10,,,,,0.000000E+00,0.8314,10,0,128,128,,,<
TV4540,9,,,,,0.000000E+00,0.9633,9,0,124,124,,,<
TV4544,10,,,,,0.000000E+00,0.9152,10,0,128,128,,,<
TV4545,10,,,,,0.000000E+00,0.6885,10,0,128,128,,,<
TV4546,10,,,,,0.000000E+00,0.3375,10,0,128,128,,
TV4554,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV4555,10,,,,,0.000000E+00,0.9746,10,0,128,128,,,<
TV4557,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV4568,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV4752,10,TV3228,10,,,1.020428E+01,0.7409,10,1,128,128,1.020428E+01,,<
TV4753,9,TV3228,10,,,8.455812E+00,0.6600,9,1,124,124,8.455812E+00,
TV4754,10,TV4827,9,TV4755,10,1.538694E+01,0.9338,10,2,128,128,2.162592E+00,7.020931E+00,<
TV4755,10,,,,,0.000000E+00,0.4811,10,0,128,128,,
TV4757,10,TV4808,6,TV3212,9,1.248666E+01,0.2711,10,1,128,128,4.123482E+00,6.288971E+00
TV4758,10,TV4757,10,,,8.182693E+00,0.6229,10,1,128,128,8.182693E+00,
TV4760,10,,,,,0.000000E+00,0.3193,10,0,128,128,,
TV4761,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV4764,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV4765,10,,,,,0.000000E+00,0.7164,10,0,128,128,,,<
TV4769,10,TV4802,10,,,8.985079E+00,0.2902,10,1,128,128,8.985079E+00,
TV4770,9,,,,,0.000000E+00,0.9702,9,0,126,126,,,<
TV4772,10,TV4778,10,,,6.249315E+00,0.5422,10,1,128,128,6.249315E+00,,<
TV4774,10,,,,,0.000000E+00,0.6054,10,0,128,128,,,<
TV4775,10,,,,,0.000000E+00,0.5166,10,0,128,128,,
TV4778,10,,,,,0.000000E+00,0.4063,10,0,128,128,,,<
TV4781,10,,,,,0.000000E+00,0.9779,10,0,128,128,,,<
TV4783,10,,,,,0.000000E+00,0.9619,10,0,128,128,,,<
TV4784,9,,,,,0.000000E+00,0.6959,9,0,126,126,,,<
