tt,median_d,mean_d,sd_d,max_d,min_d,n,p95
TRUE,147.11141936703189,639.067195350733,1690.9059188434983,8778.649774728356,3.480860886755103,52,1636.4843306600333
NA,159.24877119937616,829.8254863583751,2113.9756286238726,13433.496453253472,0,186,3208.2533803378806
