Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV2003,10,,,,,0.000000E+00,0.8602,10,0,114,114,,,<
TV2004,10,,,,,0.000000E+00,0.4900,10,0,114,114,,,<
TV2017,10,,,,,0.000000E+00,0.9909,10,0,114,114,,,<
TV2026,9,,,,,0.000000E+00,0.7248,9,0,110,110,,,<
TV2031,10,,,,,0.000000E+00,0.6136,10,0,114,114,,,<
TV2033,9,,,,,0.000000E+00,0.5874,9,0,110,110,,,<
TV2034,8,,,,,0.000000E+00,1.0000,9,0,102,102,,,<
TV2041,10,,,,,0.000000E+00,0.9731,10,0,114,114,,,<
TV2053,10,,,,,0.000000E+00,0.5372,10,0,114,114,,,<
TV2062,10,,,,,0.000000E+00,1.0000,10,0,114,114,,,<
TV2064,10,,,,,0.000000E+00,0.6513,10,0,114,114,,,<
TV2065,10,,,,,0.000000E+00,0.4959,10,0,114,114,,,<
TV2066,9,,,,,0.000000E+00,1.0000,9,0,110,110,,,<
TV2068,6,,,,,0.000000E+00,0.9796,6,0,74,74,,,<
TV2069,9,,,,,0.000000E+00,1.0000,9,0,110,110,,,<
TV2080,9,,,,,0.000000E+00,0.8796,9,0,110,110,,,<
TV2253,9,,,,,0.000000E+00,0.9932,9,0,110,110,,,<
TV2254,9,,,,,0.000000E+00,0.9522,10,0,110,110,,,<
TV2257,10,,,,,0.000000E+00,0.9832,10,0,114,114,,,<
TV2258,9,,,,,0.000000E+00,0.9998,9,0,110,110,,,<
TV2259,8,,,,,0.000000E+00,1.0000,8,0,103,103,,,<
TV2261,10,,,,,0.000000E+00,1.0000,10,0,114,114,,,<
TV2265,10,,,,,0.000000E+00,0.9502,10,0,114,114,,,<
TV2268,10,,,,,0.000000E+00,0.7405,10,0,114,114,,,<
TV2269,8,TV2271,8,TV2270,8,1.982631E+01,0.3352,9,0,109,109,7.399671E+00,1.402573E+01,<
TV2270,8,TV2271,8,TV2269,8,1.982631E+01,0.3347,9,0,109,109,7.399671E+00,1.402573E+01
TV2271,8,TV3017,10,,,7.349331E+00,0.3252,9,0,102,102,7.349331E+00,
TV2277,10,,,,,0.000000E+00,1.0000,10,0,114,114,,,<
TV2280,9,,,,,0.000000E+00,0.9907,9,0,114,114,,,<
TV2281,10,,,,,0.000000E+00,0.9523,10,0,114,114,,,<
TV2282,7,,,,,0.000000E+00,0.9835,7,0,103,103,,,<
TV2284,10,,,,,0.000000E+00,0.9949,10,0,114,114,,,<
TV2285,9,,,,,0.000000E+00,0.9044,10,0,110,110,,,<
TV2286,10,,,,,0.000000E+00,1.0000,10,0,114,114,,,<
TV2288,9,,,,,0.000000E+00,0.6125,10,0,110,110,,,<
TV2290,8,,,,,0.000000E+00,0.6893,8,0,108,108,,,<
TV2293,10,,,,,0.000000E+00,0.9906,10,0,114,114,,,<
TV2295,8,,,,,0.000000E+00,0.9869,8,0,107,107,,,<
TV2296,10,,,,,0.000000E+00,1.0000,10,0,114,114,,,<
TV2299,10,,,,,0.000000E+00,0.7093,10,0,114,114,,,<
TV2304,8,,,,,0.000000E+00,0.9599,8,0,103,103,,,<
TV2501,9,,,,,0.000000E+00,0.8944,9,0,110,110,,,<
TV2502,10,,,,,0.000000E+00,0.8147,10,0,114,114,,,<
TV2503,10,,,,,0.000000E+00,0.9813,10,0,114,114,,,<
TV2504,9,,,,,0.000000E+00,0.7119,9,0,110,110,,,<
TV2506,9,,,,,0.000000E+00,0.8661,10,0,110,110,,,<
TV2514,9,,,,,0.000000E+00,0.9559,9,0,114,114,,,<
TV2517,7,,,,,0.000000E+00,1.0000,7,0,103,103,,,<
TV2529,9,,,,,0.000000E+00,0.9801,9,0,110,110,,,<
TV2530,9,,,,,0.000000E+00,0.6706,9,0,110,110,,,<
TV2753,9,,,,,0.000000E+00,0.7819,9,0,110,110,,,<
TV2755,8,,,,,0.000000E+00,0.8274,8,0,102,102,,,<
TV2757,10,,,,,0.000000E+00,0.5861,10,0,114,114,,
TV2759,10,,,,,0.000000E+00,1.0000,10,0,114,114,,,<
TV2764,9,,,,,0.000000E+00,0.9900,10,0,110,110,,,<
TV2770,10,,,,,0.000000E+00,0.9854,10,0,114,114,,,<
TV2772,7,,,,,0.000000E+00,0.9694,7,0,103,103,,,<
TV2774,9,,,,,0.000000E+00,0.9550,10,0,110,110,,,<
TV2780,10,,,,,0.000000E+00,0.7770,10,0,114,114,,,<
TV2781,10,,,,,0.000000E+00,1.0000,10,0,114,114,,,<
TV2782,8,,,,,0.000000E+00,0.5477,8,0,102,102,,,<
TV2784,9,,,,,0.000000E+00,0.7155,10,0,110,110,,,<
TV2788,10,,,,,0.000000E+00,0.6854,10,0,114,114,,,<
TV2789,9,,,,,0.000000E+00,0.9994,9,0,110,110,,,<
TV2790,10,,,,,0.000000E+00,1.0000,10,0,114,114,,,<
TV2792,10,,,,,0.000000E+00,0.9741,10,0,114,114,,,<
TV2795,10,,,,,0.000000E+00,0.7676,10,0,114,114,,,<
TV2796,6,,,,,0.000000E+00,0.9162,6,0,74,74,,,<
TV2797,10,,,,,0.000000E+00,1.0000,10,0,114,114,,,<
TV2808,9,,,,,0.000000E+00,0.9750,9,0,114,114,,,<
TV2810,10,,,,,0.000000E+00,0.6657,10,0,114,114,,,<
TV2812,10,,,,,0.000000E+00,1.0000,10,0,114,114,,,<
TV3002,10,,,,,0.000000E+00,1.0000,10,0,114,114,,,<
