Software Version            : FRANz 1.2.3
Dataset                     : cluster_3
Time of Data Analysis       : Thu Mar 16 03:40:03 2023


*** MCMC Parameters ***

Seed                         : 1678963201
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 701
  Initial temperature c0     : 74.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 210
  Nmmax                      : 210

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |          1 |          0 |   -318.677 |   -360.597 |   21.121 |   74.000 |  0.67 |   1.815 |   1.815 |      0 |
 |          2 |       2103 |   -299.880 |   -357.077 |   15.982 |   66.588 |  0.67 |   1.992 |   1.992 |      0 |
 |          3 |       4205 |   -299.434 |   -359.586 |   20.523 |   58.804 |  0.68 |   3.137 |   3.137 |      0 |
 |          4 |       6307 |   -299.434 |   -356.519 |   15.950 |   53.898 |  0.68 |   1.098 |   1.098 |      0 |
 |          5 |       8409 |   -299.434 |   -358.454 |   18.918 |   48.673 |  0.66 |   0.390 |   0.390 |      0 |
 |          6 |      10511 |   -297.748 |   -356.506 |   15.654 |   44.995 |  0.65 |   3.812 |   3.812 |      0 |
 |          7 |      12613 |   -297.748 |   -343.825 |   21.913 |   41.230 |  0.66 |   2.938 |   2.938 |      0 |
 |          8 |      14715 |   -297.748 |   -374.557 |   23.505 |   38.904 |  0.63 |   0.891 |   0.891 |      0 |
 |          9 |      16817 |   -297.748 |   -353.015 |   22.270 |   36.961 |  0.65 |   3.869 |   3.869 |      0 |
 |         10 |      18919 |   -297.278 |   -343.561 |   14.564 |   35.109 |  0.66 |   1.329 |   1.329 |      0 |
 |         11 |      21021 |   -297.278 |   -351.362 |   16.896 |   32.612 |  0.64 |   1.936 |   1.936 |      0 |
 |         12 |      23123 |   -297.278 |   -353.521 |   18.074 |   30.727 |  0.65 |   1.610 |   1.610 |      0 |
 |         13 |      25225 |   -297.278 |   -355.815 |   16.521 |   29.153 |  0.65 |   0.859 |   0.859 |      0 |
 |         14 |      27327 |   -296.619 |   -346.095 |   18.818 |   27.605 |  0.63 |   3.115 |   3.115 |      0 |
 |         15 |      29429 |   -296.619 |   -354.052 |   17.272 |   26.376 |  0.64 |   1.097 |   1.097 |      0 |
 |         16 |      31531 |   -296.619 |   -357.916 |   18.427 |   25.156 |  0.64 |   1.400 |   1.400 |      0 |
 |         17 |      33633 |   -296.619 |   -356.543 |   17.636 |   24.110 |  0.64 |   0.636 |   0.636 |      0 |
 |         18 |      35735 |   -295.613 |   -353.548 |   24.093 |   23.106 |  0.64 |   2.465 |   2.465 |      0 |
 |         19 |      37837 |   -295.613 |   -354.660 |   24.949 |   22.423 |  0.64 |   0.468 |   0.468 |      0 |
 |         20 |      39939 |   -295.613 |   -344.403 |   23.272 |   21.801 |  0.65 |   2.828 |   2.828 |      0 |
 |         21 |      42041 |   -295.613 |   -344.996 |   17.232 |   21.171 |  0.63 |   1.687 |   1.687 |      0 |
 |         22 |      44143 |   -293.568 |   -347.346 |   20.353 |   20.375 |  0.67 |   0.959 |   0.959 |      0 |
 |         23 |      46245 |   -293.568 |   -351.856 |   18.026 |   19.747 |  0.63 |   0.984 |   0.984 |      0 |
 |         24 |      48347 |   -272.238 |   -338.452 |   23.992 |   19.083 |  0.65 |   2.748 |   2.748 |      0 |
 |         25 |      50449 |   -272.238 |   -338.780 |   16.096 |   18.613 |  0.64 |   3.182 |   3.182 |      0 |
 |         26 |      52551 |   -272.238 |   -342.378 |   19.275 |   17.953 |  0.65 |   3.981 |   3.981 |      0 |
 |         27 |      54653 |   -272.238 |   -338.211 |   18.802 |   17.437 |  0.65 |   2.193 |   2.193 |      0 |
 |         28 |      56755 |   -272.238 |   -334.786 |   16.690 |   16.938 |  0.63 |   0.879 |   0.879 |      0 |
 |         29 |      58857 |   -272.238 |   -327.308 |   19.647 |   16.409 |  0.64 |   3.182 |   3.182 |      0 |
 |         30 |      60959 |   -272.238 |   -338.605 |   15.912 |   15.985 |  0.65 |   1.268 |   1.268 |      0 |
 |         31 |      63061 |   -272.238 |   -341.488 |   20.359 |   15.490 |  0.64 |   3.715 |   3.715 |      0 |
 |         32 |      65163 |   -272.238 |   -334.821 |   18.652 |   15.125 |  0.63 |   1.404 |   1.404 |      0 |
 |         33 |      67265 |   -272.238 |   -331.343 |   13.624 |   14.745 |  0.63 |   0.741 |   0.741 |      0 |
 |         34 |      69367 |   -272.238 |   -330.025 |   17.245 |   14.255 |  0.65 |   1.232 |   1.232 |      0 |
 |         35 |      71469 |   -272.238 |   -330.698 |   17.395 |   13.890 |  0.61 |   3.546 |   3.546 |      0 |
 |         36 |      73571 |   -272.238 |   -331.675 |   15.296 |   13.546 |  0.62 |   0.569 |   0.569 |      0 |
 |         37 |      75673 |   -272.238 |   -334.393 |   21.939 |   13.176 |  0.61 |   2.949 |   2.949 |      0 |
 |         38 |      77775 |   -272.238 |   -334.578 |   23.922 |   12.929 |  0.62 |   1.018 |   1.018 |      0 |
 |         39 |      79877 |   -272.238 |   -322.732 |   17.667 |   12.711 |  0.61 |   0.621 |   0.621 |      0 |
 |         40 |      81979 |   -272.238 |   -328.783 |   16.208 |   12.427 |  0.60 |   0.929 |   0.929 |      0 |
 |         41 |      84081 |   -272.238 |   -328.831 |   18.184 |   12.131 |  0.61 |   2.171 |   2.171 |      0 |
 |         42 |      86183 |   -272.238 |   -330.313 |   18.364 |   11.879 |  0.61 |   2.500 |   2.500 |      0 |
 |         43 |      88285 |   -272.238 |   -327.469 |   17.958 |   11.640 |  0.62 |   2.440 |   2.440 |      0 |
 |         44 |      90387 |   -272.238 |   -326.640 |   22.120 |   11.405 |  0.60 |   2.015 |   2.015 |      0 |
 |         45 |      92489 |   -272.238 |   -329.941 |   17.494 |   11.222 |  0.63 |   2.614 |   2.614 |      0 |
 |         46 |      94591 |   -272.238 |   -334.019 |   15.008 |   10.997 |  0.60 |   1.974 |   1.974 |      0 |
 |         47 |      96693 |   -272.238 |   -324.155 |   21.799 |   10.747 |  0.61 |   3.641 |   3.641 |      0 |
 |         48 |      98795 |   -272.238 |   -328.817 |   17.220 |   10.582 |  0.63 |   3.725 |   3.725 |      0 |
 |         49 |     100897 |   -272.238 |   -322.333 |   22.174 |   10.379 |  0.62 |   3.334 |   3.334 |      0 |
 |         50 |     102999 |   -272.238 |   -332.411 |   19.354 |   10.227 |  0.60 |   0.843 |   0.843 |      0 |
 |         51 |     105101 |   -272.238 |   -324.638 |   16.887 |   10.058 |  0.59 |   3.924 |   3.924 |      0 |
 |         52 |     107203 |   -272.238 |   -319.662 |   17.322 |    9.871 |  0.59 |   3.049 |   3.049 |      0 |
 |         53 |     109305 |   -272.238 |   -321.832 |   12.695 |    9.696 |  0.61 |   3.245 |   3.245 |      0 |
 |         54 |     111407 |   -272.238 |   -318.081 |   12.724 |    9.466 |  0.60 |   1.609 |   1.609 |      0 |
 |         55 |     113509 |   -266.181 |   -312.805 |   18.843 |    9.247 |  0.59 |   2.477 |   2.477 |      0 |
 |         56 |     115611 |   -266.181 |   -320.046 |   18.267 |    9.105 |  0.61 |   1.302 |   1.302 |      0 |
 |         57 |     117713 |   -266.181 |   -314.286 |   14.931 |    8.963 |  0.59 |   0.628 |   0.628 |      0 |
 |         58 |     119815 |   -266.181 |   -321.654 |   18.441 |    8.796 |  0.61 |   0.449 |   0.449 |      0 |
 |         59 |     121917 |   -266.181 |   -317.210 |   15.291 |    8.664 |  0.58 |   2.725 |   2.725 |      0 |
 |         60 |     124019 |   -266.181 |   -316.951 |   12.525 |    8.511 |  0.58 |   3.754 |   3.754 |      0 |
 |         61 |     126121 |   -266.181 |   -324.909 |   20.726 |    8.331 |  0.59 |   1.736 |   1.736 |      0 |
 |         62 |     128223 |   -266.181 |   -318.634 |   17.564 |    8.226 |  0.61 |   1.614 |   1.614 |      0 |
 |         63 |     130325 |   -266.181 |   -323.131 |   13.357 |    8.106 |  0.59 |   1.659 |   1.659 |      0 |
 |         64 |     132427 |   -266.181 |   -318.059 |   17.225 |    7.952 |  0.56 |   1.963 |   1.963 |      0 |
 |         65 |     134529 |   -266.181 |   -321.338 |   24.998 |    7.837 |  0.60 |   3.033 |   3.033 |      0 |
 |         66 |     136631 |   -266.181 |   -312.254 |   17.180 |    7.760 |  0.59 |   3.483 |   3.483 |      0 |
 |         67 |     138733 |   -266.181 |   -312.437 |   16.276 |    7.650 |  0.59 |   2.160 |   2.160 |      0 |
 |         68 |     140835 |   -266.181 |   -318.115 |   18.044 |    7.538 |  0.57 |   2.948 |   2.948 |      0 |
 |         69 |     142937 |   -265.622 |   -318.478 |   19.330 |    7.439 |  0.58 |   1.883 |   1.883 |      0 |
 |         70 |     145039 |   -265.622 |   -323.900 |   14.434 |    7.349 |  0.57 |   2.601 |   2.601 |      0 |
 |         71 |     147141 |   -265.622 |   -310.746 |   13.917 |    7.232 |  0.58 |   2.824 |   2.824 |      0 |
 |         72 |     149243 |   -265.622 |   -317.746 |   15.695 |    7.115 |  0.56 |   2.166 |   2.166 |      0 |
 |         73 |     151345 |   -265.622 |   -311.582 |   17.055 |    7.014 |  0.57 |   1.069 |   1.069 |      0 |
 |         74 |     153447 |   -265.622 |   -310.532 |   17.496 |    6.923 |  0.55 |   0.768 |   0.768 |      0 |
 |         75 |     155549 |   -265.622 |   -308.609 |   12.344 |    6.837 |  0.56 |   0.299 |   0.299 |      0 |
 |         76 |     157651 |   -265.622 |   -313.964 |   15.814 |    6.719 |  0.54 |   3.769 |   3.769 |      0 |
 |         77 |     159753 |   -252.945 |   -301.738 |   18.457 |    6.630 |  0.55 |   3.962 |   3.962 |      0 |
 |         78 |     161855 |   -249.306 |   -292.271 |   15.392 |    6.555 |  0.57 |   0.606 |   0.606 |      0 |
 |         79 |     163957 |   -249.306 |   -314.296 |   20.874 |    6.467 |  0.56 |   0.709 |   0.709 |      0 |
 |         80 |     166059 |   -249.306 |   -307.352 |   18.660 |    6.404 |  0.58 |   3.028 |   3.028 |      0 |
 |         81 |     168161 |   -249.306 |   -304.906 |   16.624 |    6.335 |  0.56 |   1.712 |   1.712 |      0 |
 |         82 |     170263 |   -249.306 |   -319.159 |   13.996 |    6.259 |  0.58 |   1.901 |   1.901 |      0 |
 |         83 |     172365 |   -249.306 |   -297.862 |   16.690 |    6.172 |  0.56 |   1.416 |   1.416 |      0 |
 |         84 |     174467 |   -249.306 |   -297.120 |   12.358 |    6.100 |  0.55 |   3.092 |   3.092 |      0 |
 |         85 |     176569 |   -249.306 |   -305.998 |   16.162 |    6.006 |  0.56 |   1.988 |   1.988 |      0 |
 |         86 |     178671 |   -249.306 |   -300.168 |   13.089 |    5.936 |  0.58 |   2.835 |   2.835 |      0 |
 |         87 |     180773 |   -249.306 |   -318.104 |   14.601 |    5.851 |  0.56 |   2.316 |   2.316 |      0 |
 |         88 |     182875 |   -249.306 |   -307.168 |   13.946 |    5.778 |  0.56 |   1.609 |   1.609 |      0 |
 |         89 |     184977 |   -249.306 |   -309.549 |   17.930 |    5.703 |  0.57 |   3.884 |   3.884 |      0 |
 |         90 |     187079 |   -249.306 |   -301.289 |   14.995 |    5.646 |  0.53 |   0.726 |   0.726 |      0 |
 |         91 |     189181 |   -249.306 |   -306.436 |   16.980 |    5.579 |  0.55 |   0.700 |   0.700 |      0 |
 |         92 |     191283 |   -249.306 |   -315.086 |   16.976 |    5.521 |  0.54 |   0.565 |   0.565 |      0 |
 |         93 |     193385 |   -249.306 |   -305.238 |   16.838 |    5.465 |  0.53 |   0.553 |   0.553 |      0 |
 |         94 |     195487 |   -245.995 |   -305.738 |   17.446 |    5.409 |  0.57 |   3.981 |   3.981 |      0 |
 |         95 |     197589 |   -245.995 |   -299.036 |   16.286 |    5.356 |  0.55 |   1.401 |   1.401 |      0 |
 |         96 |     199691 |   -245.995 |   -292.296 |   11.125 |    5.301 |  0.56 |   3.231 |   3.231 |      0 |
 |         97 |     201793 |   -245.995 |   -304.928 |   18.701 |    5.222 |  0.54 |   1.507 |   1.507 |      0 |
 |         98 |     203895 |   -245.995 |   -304.521 |   12.687 |    5.176 |  0.54 |   2.242 |   2.242 |      0 |
 |         99 |     205997 |   -245.995 |   -307.395 |   15.456 |    5.110 |  0.55 |   3.785 |   3.785 |      0 |
 |        100 |     208099 |   -245.995 |   -297.355 |   18.244 |    5.057 |  0.53 |   0.874 |   0.874 |      0 |
 |        101 |     210201 |   -245.995 |   -296.058 |   14.931 |    5.013 |  0.53 |   2.082 |   2.082 |      0 |
 |        102 |     212303 |   -245.995 |   -292.760 |   12.255 |    4.960 |  0.53 |   0.469 |   0.469 |      0 |
 |        103 |     214405 |   -245.995 |   -305.102 |   16.011 |    4.897 |  0.55 |   0.501 |   0.501 |      0 |
 |        104 |     216507 |   -245.995 |   -302.160 |   13.736 |    4.850 |  0.52 |   3.408 |   3.408 |      0 |
 |        105 |     218609 |   -245.995 |   -298.121 |   15.615 |    4.796 |  0.55 |   1.658 |   1.658 |      0 |
 |        106 |     220711 |   -245.995 |   -289.308 |   13.174 |    4.749 |  0.53 |   2.137 |   2.137 |      0 |
