Software Version            : FRANz 1.2.3
Dataset                     : cluster_3
Time of Data Analysis       : Thu Mar 16 03:40:03 2023


*** MCMC Parameters ***

Seed                         : 1678963201
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 701
  Initial temperature c0     : 74.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 210
  Nmmax                      : 210

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |        107 |     222813 |   -245.995 |   -298.363 |   17.456 |    4.696 |  0.54 |   3.655 |   3.655 |      0 |
 |        108 |     224915 |   -245.995 |   -296.017 |   15.206 |    4.656 |  0.55 |   3.375 |   3.375 |      0 |
 |        109 |     227017 |   -245.995 |   -301.104 |   18.016 |    4.611 |  0.51 |   2.074 |   2.074 |      0 |
 |        110 |     229119 |   -245.995 |   -292.230 |   12.319 |    4.574 |  0.53 |   2.490 |   2.490 |      0 |
 |        111 |     231221 |   -245.995 |   -291.715 |   13.291 |    4.521 |  0.54 |   0.536 |   0.536 |      0 |
 |        112 |     233323 |   -245.995 |   -288.988 |   15.811 |    4.472 |  0.51 |   1.600 |   1.600 |      0 |
 |        113 |     235425 |   -245.995 |   -288.840 |   15.074 |    4.432 |  0.52 |   0.681 |   0.681 |      0 |
 |        114 |     237527 |   -245.995 |   -302.012 |   14.932 |    4.391 |  0.51 |   2.315 |   2.315 |      0 |
 |        115 |     239629 |   -245.656 |   -281.396 |   14.618 |    4.351 |  0.51 |   3.196 |   3.196 |      0 |
 |        116 |     241731 |   -245.656 |   -293.272 |   11.613 |    4.310 |  0.54 |   1.227 |   1.227 |      0 |
 |        117 |     243833 |   -245.656 |   -293.070 |   13.676 |    4.260 |  0.54 |   1.919 |   1.919 |      0 |
 |        118 |     245935 |   -245.656 |   -294.864 |   16.530 |    4.218 |  0.52 |   2.679 |   2.679 |      0 |
 |        119 |     248037 |   -245.656 |   -292.165 |   15.878 |    4.184 |  0.52 |   3.700 |   3.700 |      0 |
 |        120 |     250139 |   -245.656 |   -291.900 |   14.227 |    4.149 |  0.51 |   1.139 |   1.139 |      0 |
 |        121 |     252241 |   -245.656 |   -283.342 |   13.693 |    4.111 |  0.52 |   0.730 |   0.730 |      0 |
 |        122 |     254343 |   -241.206 |   -284.418 |   14.304 |    4.072 |  0.50 |   0.751 |   0.751 |      0 |
 |        123 |     256445 |   -241.206 |   -279.823 |   11.374 |    4.036 |  0.48 |   0.677 |   0.677 |      0 |
 |        124 |     258547 |   -241.206 |   -284.296 |   11.533 |    3.991 |  0.50 |   1.227 |   1.227 |      0 |
 |        125 |     260649 |   -241.206 |   -277.689 |   13.224 |    3.947 |  0.50 |   3.905 |   3.905 |      0 |
 |        126 |     262751 |   -241.206 |   -288.504 |   13.912 |    3.910 |  0.51 |   3.265 |   3.265 |      0 |
 |        127 |     264853 |   -241.206 |   -285.564 |   14.126 |    3.876 |  0.51 |   3.279 |   3.279 |      0 |
 |        128 |     266955 |   -241.206 |   -290.536 |   16.222 |    3.842 |  0.51 |   2.666 |   2.666 |      0 |
 |        129 |     269057 |   -241.206 |   -292.736 |   15.385 |    3.814 |  0.51 |   2.462 |   2.462 |      0 |
 |        130 |     271159 |   -241.206 |   -284.171 |   12.724 |    3.784 |  0.49 |   1.557 |   1.557 |      0 |
 |        131 |     273261 |   -241.206 |   -284.562 |   15.698 |    3.748 |  0.52 |   2.698 |   2.698 |      0 |
 |        132 |     275363 |   -241.206 |   -276.158 |    9.697 |    3.720 |  0.48 |   2.783 |   2.783 |      0 |
 |        133 |     277465 |   -241.206 |   -285.378 |   12.206 |    3.675 |  0.51 |   1.132 |   1.132 |      0 |
 |        134 |     279567 |   -241.206 |   -287.664 |   13.196 |    3.641 |  0.46 |   3.853 |   3.853 |      0 |
 |        135 |     281669 |   -241.206 |   -282.965 |   12.430 |    3.609 |  0.49 |   1.467 |   1.467 |      0 |
 |        136 |     283771 |   -241.206 |   -277.975 |   10.485 |    3.576 |  0.50 |   2.029 |   2.029 |      0 |
 |        137 |     285873 |   -241.206 |   -286.562 |   13.083 |    3.538 |  0.49 |   1.280 |   1.280 |      0 |
 |        138 |     287975 |   -241.206 |   -276.664 |    9.233 |    3.507 |  0.50 |   0.505 |   0.505 |      0 |
 |        139 |     290077 |   -235.918 |   -281.273 |   12.930 |    3.466 |  0.48 |   1.580 |   1.580 |      0 |
 |        140 |     292179 |   -235.918 |   -285.869 |   13.307 |    3.436 |  0.45 |   0.599 |   0.599 |      0 |
 |        141 |     294281 |   -235.918 |   -273.249 |   11.826 |    3.408 |  0.47 |   1.449 |   1.449 |      0 |
 |        142 |     296383 |   -235.918 |   -273.216 |   11.600 |    3.377 |  0.49 |   1.760 |   1.760 |      0 |
 |        143 |     298485 |   -235.918 |   -268.077 |   11.823 |    3.347 |  0.46 |   3.769 |   3.769 |      0 |
 |        144 |     300587 |   -235.918 |   -282.457 |   12.762 |    3.317 |  0.48 |   1.206 |   1.206 |      0 |
 |        145 |     302689 |   -235.918 |   -286.541 |   13.558 |    3.290 |  0.49 |   2.121 |   2.121 |      0 |
 |        146 |     304791 |   -235.918 |   -273.126 |   16.448 |    3.264 |  0.46 |   0.900 |   0.900 |      0 |
 |        147 |     306893 |   -235.918 |   -276.280 |   11.519 |    3.244 |  0.47 |   1.189 |   1.189 |      0 |
 |        148 |     308995 |   -235.918 |   -282.083 |   10.978 |    3.215 |  0.47 |   2.330 |   2.330 |      0 |
 |        149 |     311097 |   -235.918 |   -277.733 |   15.781 |    3.186 |  0.48 |   3.614 |   3.614 |      0 |
 |        150 |     313199 |   -235.918 |   -276.034 |   11.846 |    3.165 |  0.48 |   0.747 |   0.747 |      0 |
 |        151 |     315301 |   -235.918 |   -279.525 |   11.624 |    3.139 |  0.49 |   0.831 |   0.831 |      0 |
 |        152 |     317403 |   -235.918 |   -265.972 |   12.980 |    3.112 |  0.48 |   2.630 |   2.630 |      0 |
 |        153 |     319505 |   -235.918 |   -276.871 |   10.652 |    3.088 |  0.48 |   2.916 |   2.916 |      0 |
 |        154 |     321607 |   -235.918 |   -275.461 |   11.279 |    3.060 |  0.47 |   2.204 |   2.204 |      0 |
 |        155 |     323709 |   -235.918 |   -264.948 |   15.649 |    3.034 |  0.46 |   3.660 |   3.660 |      0 |
 |        156 |     325811 |   -235.918 |   -274.613 |   15.789 |    3.015 |  0.48 |   3.519 |   3.519 |      0 |
 |        157 |     327913 |   -235.918 |   -274.055 |   14.887 |    2.997 |  0.48 |   2.063 |   2.063 |      0 |
 |        158 |     330015 |   -235.918 |   -280.687 |   12.826 |    2.978 |  0.46 |   1.509 |   1.509 |      0 |
 |        159 |     332117 |   -235.918 |   -273.255 |    8.888 |    2.956 |  0.47 |   1.895 |   1.895 |      0 |
 |        160 |     334219 |   -235.918 |   -275.438 |   10.990 |    2.925 |  0.47 |   1.084 |   1.084 |      0 |
 |        161 |     336321 |   -235.918 |   -273.576 |    9.630 |    2.901 |  0.47 |   1.898 |   1.898 |      0 |
 |        162 |     338423 |   -235.918 |   -268.760 |    9.968 |    2.873 |  0.46 |   1.253 |   1.253 |      0 |
 |        163 |     340525 |   -235.918 |   -268.062 |   13.329 |    2.847 |  0.47 |   3.587 |   3.587 |      0 |
 |        164 |     342627 |   -235.918 |   -266.802 |   11.675 |    2.828 |  0.48 |   3.163 |   3.163 |      0 |
 |        165 |     344729 |   -235.918 |   -282.044 |    9.402 |    2.807 |  0.49 |   1.293 |   1.293 |      0 |
 |        166 |     346831 |   -235.918 |   -265.364 |   13.604 |    2.780 |  0.44 |   2.470 |   2.470 |      0 |
 |        167 |     348933 |   -233.618 |   -263.377 |   13.865 |    2.762 |  0.47 |   3.321 |   3.321 |      0 |
 |        168 |     351035 |   -233.618 |   -268.194 |   14.507 |    2.745 |  0.47 |   2.034 |   2.034 |      0 |
 |        169 |     353137 |   -233.618 |   -268.707 |   10.708 |    2.729 |  0.45 |   3.504 |   3.504 |      0 |
 |        170 |     355239 |   -233.618 |   -269.334 |   15.491 |    2.707 |  0.45 |   3.242 |   3.242 |      0 |
 |        171 |     357341 |   -233.618 |   -263.679 |   11.621 |    2.692 |  0.44 |   2.327 |   2.327 |      0 |
 |        172 |     359443 |   -233.618 |   -273.482 |   13.207 |    2.672 |  0.45 |   2.804 |   2.804 |      0 |
 |        173 |     361545 |   -233.618 |   -260.115 |    8.858 |    2.655 |  0.44 |   2.038 |   2.038 |      0 |
 |        174 |     363647 |   -224.612 |   -257.197 |   12.388 |    2.630 |  0.45 |   2.372 |   2.372 |      0 |
 |        175 |     365749 |   -224.612 |   -268.677 |   10.253 |    2.612 |  0.44 |   2.678 |   2.678 |      0 |
 |        176 |     367851 |   -224.612 |   -271.162 |   17.899 |    2.591 |  0.46 |   0.733 |   0.733 |      0 |
 |        177 |     369953 |   -224.612 |   -273.317 |   11.869 |    2.579 |  0.45 |   3.025 |   3.025 |      0 |
 |        178 |     372055 |   -224.612 |   -262.698 |   11.985 |    2.562 |  0.41 |   1.999 |   1.999 |      0 |
 |        179 |     374157 |   -224.612 |   -268.359 |   12.511 |    2.544 |  0.43 |   3.943 |   3.943 |      0 |
 |        180 |     376259 |   -224.612 |   -266.285 |   10.447 |    2.528 |  0.45 |   3.650 |   3.650 |      0 |
 |        181 |     378361 |   -224.612 |   -267.611 |   14.076 |    2.509 |  0.43 |   0.716 |   0.716 |      0 |
 |        182 |     380463 |   -224.612 |   -256.158 |    9.737 |    2.495 |  0.41 |   1.205 |   1.205 |      0 |
 |        183 |     382565 |   -224.612 |   -258.488 |   11.525 |    2.475 |  0.42 |   1.413 |   1.413 |      0 |
 |        184 |     384667 |   -224.612 |   -260.379 |   13.533 |    2.458 |  0.44 |   2.762 |   2.762 |      0 |
 |        185 |     386769 |   -224.612 |   -259.261 |   10.651 |    2.444 |  0.42 |   1.979 |   1.979 |      0 |
 |        186 |     388871 |   -224.612 |   -262.174 |   12.804 |    2.426 |  0.44 |   2.571 |   2.571 |      0 |
 |        187 |     390973 |   -224.612 |   -258.695 |   11.648 |    2.412 |  0.42 |   0.333 |   0.333 |      0 |
 |        188 |     393075 |   -224.612 |   -262.048 |   10.760 |    2.396 |  0.42 |   0.904 |   0.904 |      0 |
 |        189 |     395177 |   -224.612 |   -263.960 |   11.607 |    2.379 |  0.42 |   3.308 |   3.308 |      0 |
 |        190 |     397279 |   -222.109 |   -266.554 |   14.555 |    2.364 |  0.43 |   0.846 |   0.846 |      0 |
 |        191 |     399381 |   -222.109 |   -259.367 |   12.169 |    2.351 |  0.45 |   0.620 |   0.620 |      0 |
 |        192 |     401483 |   -222.109 |   -261.847 |   12.477 |    2.337 |  0.42 |   2.206 |   2.206 |      0 |
 |        193 |     403585 |   -222.109 |   -262.701 |    9.327 |    2.323 |  0.43 |   3.849 |   3.849 |      0 |
 |        194 |     405687 |   -222.109 |   -260.114 |   11.097 |    2.305 |  0.40 |   0.664 |   0.664 |      0 |
 |        195 |     407789 |   -222.109 |   -253.640 |    8.718 |    2.290 |  0.41 |   1.277 |   1.277 |      0 |
 |        196 |     409891 |   -222.109 |   -248.451 |    8.021 |    2.271 |  0.42 |   2.407 |   2.407 |      0 |
 |        197 |     411993 |   -222.109 |   -259.023 |    9.804 |    2.251 |  0.44 |   0.831 |   0.831 |      0 |
 |        198 |     414095 |   -222.109 |   -258.816 |    9.464 |    2.234 |  0.41 |   3.221 |   3.221 |      0 |
 |        199 |     416197 |   -222.109 |   -256.622 |    9.179 |    2.218 |  0.40 |   2.789 |   2.789 |      0 |
 |        200 |     418299 |   -222.109 |   -247.492 |    7.923 |    2.201 |  0.40 |   3.632 |   3.632 |      0 |
 |        201 |     420401 |   -222.109 |   -263.583 |    9.222 |    2.182 |  0.41 |   1.848 |   1.848 |      0 |
 |        202 |     422503 |   -222.109 |   -249.558 |    8.667 |    2.165 |  0.40 |   0.183 |   0.183 |      0 |
 |        203 |     424605 |   -222.109 |   -253.262 |    8.144 |    2.148 |  0.40 |   1.281 |   1.281 |      0 |
 |        204 |     426707 |   -222.109 |   -251.084 |    8.170 |    2.130 |  0.39 |   1.372 |   1.372 |      0 |
 |        205 |     428809 |   -222.109 |   -252.071 |    9.601 |    2.113 |  0.42 |   0.825 |   0.825 |      0 |
 |        206 |     430911 |   -222.109 |   -257.494 |    9.143 |    2.098 |  0.40 |   1.629 |   1.629 |      0 |
 |        207 |     433013 |   -219.784 |   -247.124 |    8.996 |    2.083 |  0.39 |   3.022 |   3.022 |      0 |
 |        208 |     435115 |   -219.784 |   -248.367 |    8.964 |    2.068 |  0.38 |   3.100 |   3.100 |      0 |
 |        209 |     437217 |   -219.784 |   -258.364 |   11.223 |    2.053 |  0.41 |   2.534 |   2.534 |      0 |
 |        210 |     439319 |   -219.784 |   -250.912 |    7.057 |    2.041 |  0.40 |   1.218 |   1.218 |      0 |
 |        211 |     441421 |   -219.784 |   -249.123 |    7.261 |    2.022 |  0.39 |   3.695 |   3.695 |      0 |
 |        212 |     443523 |   -219.784 |   -252.225 |   12.172 |    2.005 |  0.41 |   0.517 |   0.517 |      0 |
 |        213 |     445625 |   -219.784 |   -245.156 |    9.872 |    1.994 |  0.36 |   2.020 |   2.020 |      0 |
 |        214 |     447727 |   -219.784 |   -249.974 |    9.682 |    1.981 |  0.37 |   0.214 |   0.214 |      0 |
 |        215 |     449829 |   -219.661 |   -244.482 |    7.581 |    1.969 |  0.38 |   2.206 |   2.206 |      0 |
