Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV1003,10,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV2005,10,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV2055,9,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV2090,10,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV2252,10,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV2272,9,,,,,0.000000E+00,1.0000,9,0,101,101,,,<
TV2298,10,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV2518,9,,,,,0.000000E+00,0.7963,10,0,101,101,,,<
TV2520,10,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV2522,10,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV2524,9,TV2525,8,,,1.336966E+01,0.5081,10,0,101,101,1.336966E+01,,<
TV2525,8,,,,,0.000000E+00,0.5086,8,0,98,98,,,<
TV2527,10,,,,,0.000000E+00,0.9811,10,0,101,101,,,<
TV2775,9,,,,,0.000000E+00,1.0000,9,0,101,101,,,<
TV2813,10,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV3024,10,,,,,0.000000E+00,0.9781,10,0,101,101,,,<
TV3042,10,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV3052,9,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV3206,10,TV3207,10,,,2.095890E+01,0.5065,10,0,101,101,2.095890E+01,
TV3207,10,,,,,0.000000E+00,0.5066,10,0,101,101,,
TV3217,10,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV3219,10,,,,,0.000000E+00,0.9597,10,0,101,101,,,<
TV3222,10,,,,,0.000000E+00,0.5114,10,0,101,101,,
TV3223,10,,,,,0.000000E+00,0.4949,10,0,101,101,,,<
TV3224,10,,,,,0.000000E+00,0.8794,10,0,101,101,,,<
TV3225,9,,,,,0.000000E+00,0.9283,9,0,101,101,,,<
TV3227,10,,,,,0.000000E+00,0.6659,10,0,101,101,,,<
TV3236,9,,,,,0.000000E+00,0.9878,10,0,101,101,,,<
TV3238,10,,,,,0.000000E+00,0.8796,10,0,101,101,,,<
TV3243,9,,,,,0.000000E+00,0.6631,10,0,101,101,,,<
TV4251,10,,,,,0.000000E+00,0.5499,10,0,101,101,,,<
TV4252,9,TV5139,9,,,1.589541E+01,0.4207,9,0,101,101,1.589541E+01,
TV4255,10,TV5257,10,,,6.803641E+00,0.3958,10,1,101,101,6.803641E+00,
TV4256,10,TV5139,9,,,1.115443E+01,0.5744,10,0,101,101,1.115443E+01,,<
TV4257,10,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV4261,10,TV4272,10,,,8.956944E+00,0.3196,10,1,101,101,8.956944E+00,,<
TV4262,9,TV4261,10,,,1.305619E+01,0.8015,10,0,101,101,1.305619E+01,,<
TV4263,10,,,,,0.000000E+00,1.0000,10,0,101,101,,,<
TV4265,10,TV4292,10,,,1.257826E+01,0.4382,10,0,101,101,1.257826E+01,,<
TV4267,10,,,,,0.000000E+00,0.6006,10,0,101,101,,
