Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Thu May  4 18:49:23 2023


*** MCMC Parameters ***

Seed                         : 1683251359
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 13838
  Initial temperature c0     : 65.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 500
  Nmmax                      : 500

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |         43 |    1743547 |  -1526.275 |  -1694.456 |   49.032 |   23.553 |  0.63 |   3.108 |   3.108 |      0 |
 |         44 |    1785060 |  -1485.676 |  -1681.431 |   58.700 |   23.199 |  0.62 |   2.214 |   2.214 |      0 |
 |         45 |    1826573 |  -1485.676 |  -1680.777 |   41.707 |   22.911 |  0.63 |   0.757 |   0.757 |      0 |
 |         46 |    1868086 |  -1485.676 |  -1674.055 |   44.444 |   22.518 |  0.63 |   0.575 |   0.575 |      0 |
 |         47 |    1909599 |  -1485.676 |  -1691.147 |   44.284 |   22.161 |  0.63 |   1.303 |   1.303 |      0 |
 |         48 |    1951112 |  -1485.676 |  -1690.599 |   47.755 |   21.815 |  0.63 |   3.294 |   3.294 |      0 |
 |         49 |    1992625 |  -1485.676 |  -1694.523 |   46.880 |   21.503 |  0.62 |   2.149 |   2.149 |      0 |
 |         50 |    2034138 |  -1485.676 |  -1680.730 |   52.266 |   21.194 |  0.63 |   2.562 |   2.562 |      0 |
 |         51 |    2075651 |  -1485.676 |  -1700.102 |   49.023 |   20.924 |  0.62 |   1.240 |   1.240 |      0 |
 |         52 |    2117164 |  -1485.676 |  -1665.740 |   51.704 |   20.644 |  0.62 |   1.538 |   1.538 |      0 |
 |         53 |    2158677 |  -1485.676 |  -1674.446 |   51.375 |   20.386 |  0.63 |   2.446 |   2.446 |      0 |
 |         54 |    2200190 |  -1485.676 |  -1678.818 |   47.197 |   20.132 |  0.62 |   2.795 |   2.795 |      0 |
 |         55 |    2241703 |  -1485.676 |  -1671.541 |   45.107 |   19.863 |  0.62 |   0.583 |   0.583 |      0 |
 |         56 |    2283216 |  -1485.676 |  -1682.956 |   50.806 |   19.589 |  0.62 |   0.670 |   0.670 |      0 |
 |         57 |    2324729 |  -1485.676 |  -1672.398 |   50.028 |   19.352 |  0.63 |   1.698 |   1.698 |      0 |
 |         58 |    2366242 |  -1461.218 |  -1655.181 |   54.278 |   19.117 |  0.62 |   2.560 |   2.560 |      0 |
 |         59 |    2407755 |  -1461.218 |  -1670.080 |   50.999 |   18.905 |  0.63 |   2.810 |   2.810 |      0 |
 |         60 |    2449268 |  -1461.218 |  -1666.450 |   48.211 |   18.685 |  0.62 |   3.027 |   3.027 |      0 |
 |         61 |    2490781 |  -1461.218 |  -1667.382 |   45.634 |   18.458 |  0.62 |   2.211 |   2.211 |      0 |
 |         62 |    2532294 |  -1461.218 |  -1642.860 |   39.385 |   18.224 |  0.62 |   3.414 |   3.414 |      0 |
 |         63 |    2573807 |  -1461.218 |  -1653.672 |   49.772 |   17.960 |  0.61 |   2.734 |   2.734 |      0 |
 |         64 |    2615320 |  -1461.218 |  -1664.280 |   40.823 |   17.756 |  0.61 |   2.447 |   2.447 |      0 |
 |         65 |    2656833 |  -1461.218 |  -1660.419 |   54.192 |   17.514 |  0.62 |   0.515 |   0.515 |      0 |
 |         66 |    2698346 |  -1461.218 |  -1658.458 |   41.031 |   17.336 |  0.61 |   3.633 |   3.633 |      0 |
 |         67 |    2739859 |  -1461.218 |  -1631.357 |   50.222 |   17.106 |  0.61 |   3.611 |   3.611 |      0 |
 |         68 |    2781372 |  -1461.218 |  -1650.890 |   49.076 |   16.923 |  0.62 |   2.214 |   2.214 |      0 |
 |         69 |    2822885 |  -1461.218 |  -1673.606 |   54.123 |   16.740 |  0.62 |   2.405 |   2.405 |      0 |
 |         70 |    2864398 |  -1461.218 |  -1661.524 |   48.576 |   16.577 |  0.61 |   3.379 |   3.379 |      0 |
 |         71 |    2905911 |  -1461.218 |  -1664.587 |   44.035 |   16.399 |  0.62 |   2.575 |   2.575 |      0 |
 |         72 |    2947424 |  -1461.218 |  -1648.161 |   51.823 |   16.207 |  0.62 |   2.017 |   2.017 |      0 |
 |         73 |    2988937 |  -1461.218 |  -1647.519 |   46.074 |   16.048 |  0.62 |   3.741 |   3.741 |      0 |
 |         74 |    3030450 |  -1461.218 |  -1635.086 |   47.932 |   15.872 |  0.62 |   2.646 |   2.646 |      0 |
 |         75 |    3071963 |  -1461.218 |  -1655.713 |   43.984 |   15.707 |  0.61 |   2.479 |   2.479 |      0 |
 |         76 |    3113476 |  -1461.218 |  -1644.286 |   49.570 |   15.531 |  0.62 |   0.506 |   0.506 |      0 |
 |         77 |    3154989 |  -1461.218 |  -1650.559 |   51.771 |   15.378 |  0.61 |   2.309 |   2.309 |      0 |
 |         78 |    3196502 |  -1461.218 |  -1651.277 |   49.731 |   15.234 |  0.61 |   1.280 |   1.280 |      0 |
 |         79 |    3238015 |  -1461.218 |  -1634.231 |   41.138 |   15.087 |  0.61 |   2.034 |   2.034 |      0 |
 |         80 |    3279528 |  -1461.218 |  -1652.727 |   49.087 |   14.913 |  0.61 |   2.862 |   2.862 |      0 |
 |         81 |    3321041 |  -1461.218 |  -1653.399 |   47.703 |   14.771 |  0.61 |   0.545 |   0.545 |      0 |
 |         82 |    3362554 |  -1461.218 |  -1649.134 |   43.824 |   14.627 |  0.62 |   3.890 |   3.890 |      0 |
 |         83 |    3404067 |  -1461.218 |  -1645.138 |   44.784 |   14.474 |  0.61 |   2.418 |   2.418 |      0 |
 |         84 |    3445580 |  -1461.218 |  -1655.159 |   48.722 |   14.326 |  0.60 |   1.296 |   1.296 |      0 |
 |         85 |    3487093 |  -1461.218 |  -1632.285 |   42.422 |   14.194 |  0.61 |   0.714 |   0.714 |      0 |
 |         86 |    3528606 |  -1461.218 |  -1635.120 |   44.181 |   14.045 |  0.61 |   0.668 |   0.668 |      0 |
 |         87 |    3570119 |  -1461.218 |  -1643.077 |   45.548 |   13.904 |  0.61 |   0.982 |   0.982 |      0 |
 |         88 |    3611632 |  -1461.218 |  -1635.124 |   48.405 |   13.771 |  0.61 |   3.945 |   3.945 |      0 |
 |         89 |    3653145 |  -1461.218 |  -1634.773 |   44.676 |   13.647 |  0.60 |   0.557 |   0.557 |      0 |
 |         90 |    3694658 |  -1461.218 |  -1644.866 |   42.905 |   13.516 |  0.61 |   0.659 |   0.659 |      0 |
 |         91 |    3736171 |  -1461.218 |  -1642.044 |   58.886 |   13.382 |  0.61 |   1.460 |   1.460 |      0 |
 |         92 |    3777684 |  -1461.218 |  -1647.875 |   41.976 |   13.286 |  0.61 |   3.721 |   3.721 |      0 |
 |         93 |    3819197 |  -1461.218 |  -1622.751 |   44.686 |   13.154 |  0.61 |   2.473 |   2.473 |      0 |
 |         94 |    3860710 |  -1461.218 |  -1621.060 |   43.642 |   13.032 |  0.61 |   2.803 |   2.803 |      0 |
 |         95 |    3902223 |  -1461.218 |  -1633.837 |   43.180 |   12.910 |  0.61 |   1.123 |   1.123 |      0 |
 |         96 |    3943736 |  -1461.218 |  -1625.560 |   48.947 |   12.788 |  0.60 |   2.066 |   2.066 |      0 |
 |         97 |    3985249 |  -1461.218 |  -1621.582 |   48.802 |   12.683 |  0.61 |   2.401 |   2.401 |      0 |
 |         98 |    4026762 |  -1461.218 |  -1628.627 |   43.164 |   12.579 |  0.60 |   1.497 |   1.497 |      0 |
 |         99 |    4068275 |  -1461.218 |  -1640.716 |   48.977 |   12.464 |  0.60 |   1.489 |   1.489 |      0 |
 |        100 |    4109788 |  -1455.300 |  -1612.476 |   50.446 |   12.364 |  0.61 |   1.695 |   1.695 |      0 |
 |        101 |    4151301 |  -1455.300 |  -1618.589 |   46.336 |   12.268 |  0.61 |   3.982 |   3.982 |      0 |
 |        102 |    4192814 |  -1455.300 |  -1610.133 |   54.266 |   12.166 |  0.61 |   1.144 |   1.144 |      0 |
 |        103 |    4234327 |  -1455.300 |  -1607.597 |   46.217 |   12.080 |  0.60 |   1.768 |   1.768 |      0 |
 |        104 |    4275840 |  -1439.864 |  -1612.898 |   54.543 |   11.980 |  0.60 |   3.112 |   3.112 |      0 |
 |        105 |    4317353 |  -1439.864 |  -1605.440 |   43.390 |   11.897 |  0.60 |   0.798 |   0.798 |      0 |
 |        106 |    4358866 |  -1439.864 |  -1624.857 |   42.942 |   11.795 |  0.61 |   3.228 |   3.228 |      0 |
 |        107 |    4400379 |  -1439.864 |  -1615.153 |   42.495 |   11.692 |  0.61 |   1.189 |   1.189 |      0 |
 |        108 |    4441892 |  -1439.864 |  -1612.704 |   50.283 |   11.591 |  0.60 |   1.541 |   1.541 |      0 |
 |        109 |    4483405 |  -1439.864 |  -1620.247 |   50.019 |   11.507 |  0.60 |   2.332 |   2.332 |      0 |
 |        110 |    4524918 |  -1439.864 |  -1610.115 |   43.929 |   11.423 |  0.60 |   3.259 |   3.259 |      0 |
 |        111 |    4566431 |  -1439.864 |  -1613.682 |   44.733 |   11.330 |  0.60 |   2.984 |   2.984 |      0 |
 |        112 |    4607944 |  -1439.864 |  -1615.559 |   46.632 |   11.239 |  0.60 |   2.512 |   2.512 |      0 |
 |        113 |    4649457 |  -1439.864 |  -1620.393 |   46.148 |   11.154 |  0.60 |   2.518 |   2.518 |      0 |
 |        114 |    4690970 |  -1439.864 |  -1625.269 |   45.660 |   11.069 |  0.59 |   1.741 |   1.741 |      0 |
 |        115 |    4732483 |  -1439.864 |  -1608.559 |   45.276 |   10.984 |  0.59 |   1.674 |   1.674 |      0 |
 |        116 |    4773996 |  -1439.864 |  -1615.106 |   40.256 |   10.900 |  0.59 |   0.898 |   0.898 |      0 |
 |        117 |    4815509 |  -1439.864 |  -1601.095 |   50.373 |   10.807 |  0.60 |   1.241 |   1.241 |      0 |
 |        118 |    4857022 |  -1439.864 |  -1619.686 |   43.386 |   10.734 |  0.59 |   2.920 |   2.920 |      0 |
 |        119 |    4898535 |  -1439.864 |  -1596.731 |   50.678 |   10.650 |  0.59 |   3.441 |   3.441 |      0 |
 |        120 |    4940048 |  -1439.864 |  -1605.578 |   44.008 |   10.580 |  0.59 |   1.169 |   1.169 |      0 |
 |        121 |    4981561 |  -1439.864 |  -1597.388 |   46.159 |   10.500 |  0.60 |   0.894 |   0.894 |      0 |
 |        122 |    5023074 |  -1421.658 |  -1571.978 |   50.394 |   10.424 |  0.59 |   1.117 |   1.117 |      0 |
 |        123 |    5064587 |  -1421.658 |  -1603.862 |   46.915 |   10.356 |  0.59 |   2.131 |   2.131 |      0 |
 |        124 |    5106100 |  -1421.658 |  -1588.695 |   50.259 |   10.284 |  0.59 |   2.180 |   2.180 |      0 |
 |        125 |    5147613 |  -1421.658 |  -1598.062 |   46.190 |   10.218 |  0.59 |   3.853 |   3.853 |      0 |
 |        126 |    5189126 |  -1421.658 |  -1612.604 |   53.378 |   10.146 |  0.59 |   2.180 |   2.180 |      0 |
 |        127 |    5230639 |  -1421.658 |  -1608.515 |   48.008 |   10.085 |  0.59 |   1.303 |   1.303 |      0 |
 |        128 |    5272152 |  -1421.658 |  -1593.083 |   49.226 |   10.019 |  0.59 |   3.428 |   3.428 |      0 |
 |        129 |    5313665 |  -1421.658 |  -1596.049 |   44.722 |    9.954 |  0.59 |   2.220 |   2.220 |      0 |
 |        130 |    5355178 |  -1421.658 |  -1597.306 |   39.139 |    9.884 |  0.59 |   0.413 |   0.413 |      0 |
 |        131 |    5396691 |  -1421.658 |  -1572.920 |   38.757 |    9.806 |  0.59 |   1.128 |   1.128 |      0 |
 |        132 |    5438204 |  -1412.249 |  -1575.688 |   43.252 |    9.728 |  0.59 |   1.293 |   1.293 |      0 |
 |        133 |    5479717 |  -1412.249 |  -1570.473 |   48.312 |    9.658 |  0.59 |   0.764 |   0.764 |      0 |
 |        134 |    5521230 |  -1412.249 |  -1587.823 |   47.711 |    9.598 |  0.59 |   1.752 |   1.752 |      0 |
 |        135 |    5562743 |  -1412.249 |  -1589.784 |   43.669 |    9.537 |  0.58 |   2.876 |   2.876 |      0 |
 |        136 |    5604256 |  -1412.249 |  -1594.781 |   39.799 |    9.471 |  0.59 |   0.615 |   0.615 |      0 |
 |        137 |    5645769 |  -1412.249 |  -1600.279 |   45.196 |    9.400 |  0.59 |   0.575 |   0.575 |      0 |
 |        138 |    5687282 |  -1412.249 |  -1584.414 |   50.729 |    9.338 |  0.59 |   3.908 |   3.908 |      0 |
 |        139 |    5728795 |  -1412.249 |  -1580.601 |   52.952 |    9.284 |  0.58 |   2.450 |   2.450 |      0 |
 |        140 |    5770308 |  -1412.249 |  -1579.430 |   37.420 |    9.232 |  0.59 |   1.181 |   1.181 |      0 |
 |        141 |    5811821 |  -1412.249 |  -1559.371 |   42.205 |    9.161 |  0.59 |   2.285 |   2.285 |      0 |
 |        142 |    5853334 |  -1412.249 |  -1571.387 |   51.097 |    9.098 |  0.58 |   3.312 |   3.312 |      0 |
 |        143 |    5894847 |  -1412.249 |  -1582.489 |   41.029 |    9.047 |  0.58 |   2.275 |   2.275 |      0 |
 |        144 |    5936360 |  -1412.249 |  -1563.485 |   44.221 |    8.984 |  0.58 |   2.568 |   2.568 |      0 |
 |        145 |    5977873 |  -1412.249 |  -1561.170 |   43.290 |    8.926 |  0.59 |   3.981 |   3.981 |      0 |
 |        146 |    6019386 |  -1412.249 |  -1572.292 |   46.898 |    8.868 |  0.59 |   3.263 |   3.263 |      0 |
 |        147 |    6060899 |  -1412.249 |  -1569.509 |   42.864 |    8.815 |  0.58 |   2.988 |   2.988 |      0 |
 |        148 |    6102412 |  -1412.249 |  -1545.331 |   43.289 |    8.758 |  0.58 |   1.416 |   1.416 |      0 |
 |        149 |    6143925 |  -1412.249 |  -1561.909 |   39.500 |    8.702 |  0.59 |   3.780 |   3.780 |      0 |
 |        150 |    6185438 |  -1412.249 |  -1572.885 |   41.113 |    8.641 |  0.58 |   1.280 |   1.280 |      0 |
 |        151 |    6226951 |  -1412.249 |  -1576.871 |   42.273 |    8.584 |  0.58 |   0.539 |   0.539 |      0 |
 |        152 |    6268464 |  -1412.249 |  -1565.168 |   45.126 |    8.529 |  0.58 |   3.137 |   3.137 |      0 |
 |        153 |    6309977 |  -1412.249 |  -1577.215 |   41.450 |    8.478 |  0.58 |   2.340 |   2.340 |      0 |
 |        154 |    6351490 |  -1412.249 |  -1581.311 |   41.543 |    8.423 |  0.58 |   2.144 |   2.144 |      0 |
 |        155 |    6393003 |  -1412.249 |  -1558.028 |   43.484 |    8.370 |  0.58 |   1.467 |   1.467 |      0 |
 |        156 |    6434516 |  -1412.249 |  -1560.314 |   43.747 |    8.319 |  0.58 |   0.689 |   0.689 |      0 |
 |        157 |    6476029 |  -1412.249 |  -1560.168 |   40.123 |    8.269 |  0.58 |   2.932 |   2.932 |      0 |
 |        158 |    6517542 |  -1400.552 |  -1537.595 |   43.945 |    8.215 |  0.58 |   3.008 |   3.008 |      0 |
 |        159 |    6559055 |  -1400.552 |  -1575.836 |   41.860 |    8.166 |  0.57 |   3.870 |   3.870 |      0 |
 |        160 |    6600568 |  -1400.552 |  -1577.956 |   45.658 |    8.116 |  0.57 |   3.724 |   3.724 |      0 |
 |        161 |    6642081 |  -1400.552 |  -1561.383 |   54.058 |    8.071 |  0.57 |   3.463 |   3.463 |      0 |
 |        162 |    6683594 |  -1400.552 |  -1536.922 |   42.090 |    8.032 |  0.58 |   0.578 |   0.578 |      0 |
 |        163 |    6725107 |  -1400.552 |  -1547.414 |   46.015 |    7.984 |  0.57 |   3.376 |   3.376 |      0 |
 |        164 |    6766620 |  -1395.689 |  -1561.191 |   46.102 |    7.940 |  0.58 |   1.575 |   1.575 |      0 |
 |        165 |    6808133 |  -1395.689 |  -1554.511 |   48.172 |    7.897 |  0.58 |   0.763 |   0.763 |      0 |
 |        166 |    6849646 |  -1395.689 |  -1554.934 |   41.473 |    7.856 |  0.57 |   0.823 |   0.823 |      0 |
 |        167 |    6891159 |  -1395.689 |  -1541.979 |   42.150 |    7.809 |  0.58 |   2.384 |   2.384 |      0 |
 |        168 |    6932672 |  -1395.689 |  -1550.451 |   42.272 |    7.763 |  0.57 |   3.272 |   3.272 |      0 |
 |        169 |    6974185 |  -1395.689 |  -1548.228 |   42.096 |    7.718 |  0.57 |   1.336 |   1.336 |      0 |
 |        170 |    7015698 |  -1395.689 |  -1548.213 |   53.105 |    7.674 |  0.58 |   1.070 |   1.070 |      0 |
 |        171 |    7057211 |  -1395.689 |  -1516.300 |   49.697 |    7.639 |  0.58 |   0.547 |   0.547 |      0 |
 |        172 |    7098724 |  -1395.689 |  -1543.507 |   50.963 |    7.602 |  0.57 |   3.282 |   3.282 |      0 |
 |        173 |    7140237 |  -1395.689 |  -1554.035 |   45.207 |    7.566 |  0.57 |   1.805 |   1.805 |      0 |
 |        174 |    7181750 |  -1395.689 |  -1538.680 |   43.557 |    7.526 |  0.57 |   0.654 |   0.654 |      0 |
 |        175 |    7223263 |  -1395.689 |  -1542.730 |   40.893 |    7.485 |  0.57 |   3.452 |   3.452 |      0 |
 |        176 |    7264776 |  -1394.055 |  -1542.171 |   48.354 |    7.441 |  0.57 |   1.834 |   1.834 |      0 |
 |        177 |    7306289 |  -1394.055 |  -1545.390 |   42.734 |    7.405 |  0.57 |   2.111 |   2.111 |      0 |
 |        178 |    7347802 |  -1361.806 |  -1530.238 |   47.528 |    7.365 |  0.57 |   2.580 |   2.580 |      0 |
 |        179 |    7389315 |  -1361.806 |  -1527.905 |   46.310 |    7.328 |  0.57 |   2.336 |   2.336 |      0 |
 |        180 |    7430828 |  -1361.806 |  -1523.544 |   47.920 |    7.292 |  0.57 |   2.301 |   2.301 |      0 |
 |        181 |    7472341 |  -1361.806 |  -1543.295 |   39.492 |    7.257 |  0.56 |   2.086 |   2.086 |      0 |
 |        182 |    7513854 |  -1361.806 |  -1555.336 |   51.413 |    7.215 |  0.57 |   2.658 |   2.658 |      0 |
 |        183 |    7555367 |  -1361.806 |  -1521.142 |   44.468 |    7.183 |  0.57 |   2.476 |   2.476 |      0 |
 |        184 |    7596880 |  -1361.806 |  -1521.296 |   46.813 |    7.146 |  0.57 |   3.742 |   3.742 |      0 |
 |        185 |    7638393 |  -1361.806 |  -1527.030 |   44.586 |    7.111 |  0.57 |   1.392 |   1.392 |      0 |
 |        186 |    7679906 |  -1361.806 |  -1527.487 |   44.047 |    7.076 |  0.56 |   0.660 |   0.660 |      0 |
 |        187 |    7721419 |  -1361.806 |  -1528.235 |   44.335 |    7.040 |  0.57 |   2.515 |   2.515 |      0 |
 |        188 |    7762932 |  -1361.806 |  -1518.155 |   42.932 |    7.004 |  0.56 |   3.539 |   3.539 |      0 |
 |        189 |    7804445 |  -1361.806 |  -1527.543 |   46.315 |    6.968 |  0.56 |   2.627 |   2.627 |      0 |
 |        190 |    7845958 |  -1361.806 |  -1506.623 |   43.190 |    6.935 |  0.57 |   2.101 |   2.101 |      0 |
 |        191 |    7887471 |  -1361.806 |  -1521.047 |   38.088 |    6.900 |  0.56 |   1.992 |   1.992 |      0 |
 |        192 |    7928984 |  -1361.806 |  -1507.207 |   40.990 |    6.860 |  0.57 |   1.236 |   1.236 |      0 |
 |        193 |    7970497 |  -1361.806 |  -1504.674 |   35.825 |    6.824 |  0.56 |   1.331 |   1.331 |      0 |
 |        194 |    8012010 |  -1324.138 |  -1513.463 |   48.326 |    6.783 |  0.56 |   0.683 |   0.683 |      0 |
 |        195 |    8053523 |  -1324.138 |  -1522.656 |   48.239 |    6.753 |  0.55 |   1.435 |   1.435 |      0 |
 |        196 |    8095036 |  -1324.138 |  -1517.307 |   39.656 |    6.723 |  0.56 |   2.650 |   2.650 |      0 |
 |        197 |    8136549 |  -1324.138 |  -1514.431 |   55.696 |    6.687 |  0.57 |   1.733 |   1.733 |      0 |
 |        198 |    8178062 |  -1324.138 |  -1521.208 |   46.318 |    6.662 |  0.56 |   0.804 |   0.804 |      0 |
 |        199 |    8219575 |  -1324.138 |  -1502.997 |   41.210 |    6.631 |  0.56 |   3.777 |   3.777 |      0 |
 |        200 |    8261088 |  -1324.138 |  -1510.994 |   45.896 |    6.598 |  0.55 |   1.713 |   1.713 |      0 |
 |        201 |    8302601 |  -1324.138 |  -1509.081 |   40.187 |    6.568 |  0.56 |   2.216 |   2.216 |      0 |
 |        202 |    8344114 |  -1324.138 |  -1513.623 |   40.316 |    6.534 |  0.56 |   2.800 |   2.800 |      0 |
 |        203 |    8385627 |  -1324.138 |  -1496.739 |   42.583 |    6.500 |  0.55 |   1.944 |   1.944 |      0 |
 |        204 |    8427140 |  -1324.138 |  -1501.535 |   46.493 |    6.469 |  0.56 |   2.239 |   2.239 |      0 |
 |        205 |    8468653 |  -1324.138 |  -1497.863 |   42.459 |    6.440 |  0.55 |   0.688 |   0.688 |      0 |
 |        206 |    8510166 |  -1324.138 |  -1515.557 |   39.226 |    6.409 |  0.55 |   3.279 |   3.279 |      0 |
