Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Thu May  4 18:51:52 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV4798         0.6471 %
TV4818         0.3878 %
TV4822         0.0648 %
TV4827         0.6880 %
TV4828         0.3538 %
TV4830         0.2016 %
TV4831         0.1409 %
TV4836         0.1269 %
TV4838         0.0529 %
TV5020         0.0954 %
TV5024         0.1124 %
TV5041         0.0537 %
TV5048         0.0546 %
TV5054         0.1787 %
TV5063         0.0886 %
TV5073         0.0506 %
TV5081         0.9216 %
TV5119         0.0654 %
TV5124         0.1345 %
TV5125         0.5466 %
TV5127         0.0526 %
TV5131         0.0975 %
TV5132         0.7519 %
TV5140         0.1976 %
TV5143         0.6266 %
TV5168         0.4502 %
TV5169         0.3143 %
TV5187         0.1085 %
TV5213         0.0908 %
TV5223         0.0527 %
TV5224         0.0742 %
TV5231         0.0679 %
TV5232         0.0669 %
TV5241         0.5221 %
TV5242         0.1977 %
TV5247         0.8091 %
TV5252         0.7896 %
TV5254         0.2088 %
TV5257         0.2784 %
TV5274         0.4722 %
TV5280         0.3368 %
TV5288         0.4606 %
TV5303         0.5440 %
TV5304         0.3408 %
TV5305         0.1962 %

TOTAL: 112

*** Locus 4 ***

TV2031         0.4134 %
TV2041         0.0727 %
TV2280         0.1837 %
TV2290         0.4785 %
TV2299         0.4616 %
TV2304         0.0606 %
TV2501         0.0681 %
TV2518         0.0504 %
TV2530         0.1102 %
TV2775         0.1080 %
TV2780         0.1137 %
TV2782         0.5768 %
TV2784         0.0555 %
TV2789         0.0631 %
TV3003         0.0847 %
TV3029         0.1498 %
TV3036         0.0712 %
TV3052         0.1136 %
TV3056         0.9050 %
TV3201         0.4649 %
TV3203         0.1646 %
TV3210         0.0910 %
TV3211         0.0564 %
TV3212         0.0849 %
TV3219         0.2215 %
TV3220         0.1328 %
TV3227         0.4227 %
TV3228         0.3375 %
TV3237         0.2489 %
TV3243         0.3894 %
TV3244         0.2587 %
TV4251         0.8062 %
TV4254         0.0669 %
TV4255         0.4429 %
TV4267         0.7275 %
TV4268         0.0696 %
TV4273         0.0569 %
TV4277         0.0740 %
TV4280         0.2951 %
TV4282         0.2686 %
TV4293         0.3348 %
TV4298         0.0525 %
TV4306         0.0704 %
TV4309         0.0824 %
TV4311         0.0511 %
TV4319         0.4433 %
TV4501         0.1002 %
TV4506         0.1535 %
TV4508         0.1796 %
TV4510         0.0602 %
TV4528         0.0901 %
TV4539         0.2002 %
TV4544         0.3884 %
TV4553         0.5232 %
TV4554         0.4869 %
TV4558         0.1232 %
TV4567         0.0695 %
TV4755         0.6824 %
TV4756         0.0645 %
TV4757         0.2284 %
TV4758         0.7883 %
TV4765         0.1086 %
TV4782         0.1375 %
TV4784         0.2752 %
TV4796         0.5918 %
TV4800         0.0973 %
TV4813         0.8887 %
TV4817         0.1157 %
TV4822         0.1899 %
TV4829         0.2390 %
TV4830         0.1368 %
TV4831         0.1409 %
TV4835         0.6958 %
TV5019         0.4235 %
TV5024         0.5148 %
TV5054         0.0517 %
TV5111         0.0854 %
TV5113         0.3742 %
TV5119         0.4022 %
TV5126         0.1323 %
TV5131         0.0980 %
TV5140         0.1860 %
TV5164         0.0765 %
TV5180         0.1849 %
TV5195         0.0619 %
TV5199         0.1540 %
TV5201         0.6156 %
TV5211         0.1334 %
TV5216         0.4399 %
TV5217         0.1599 %
TV5227         0.2494 %
TV5228         0.6425 %
TV5230         0.1696 %
TV5231         0.0679 %
TV5244         0.3796 %
TV5245         0.1657 %
TV5251         0.1201 %
TV5269         0.0583 %
TV5271         0.0931 %
TV5304         0.2169 %
TV5308         0.5249 %

TOTAL: 101

*** Locus 5 ***

TV2004         0.0742 %
TV2033         0.6030 %
TV2268         0.4564 %
TV2269         0.0747 %
TV2281         0.0674 %
TV2285         0.1563 %
TV2297         0.0769 %
TV2304         0.0688 %
TV2504         0.0749 %
TV2506         0.2876 %
TV2757         0.0517 %
TV2766         0.0784 %
TV3010         0.1401 %
TV3011         0.1578 %
TV3025         0.3605 %
TV3030         0.2580 %
TV3031         0.7840 %
TV3041         0.1948 %
TV3043         0.2328 %
TV3050         0.1157 %
TV3053         0.3565 %
TV3202         0.9455 %
TV3209         0.7704 %
TV3210         0.0562 %
TV3215         0.0777 %
TV3218         0.6023 %
TV3229         0.3061 %
TV3231         0.6898 %
TV3235         0.0661 %
TV3240         0.2985 %
TV4253         0.1485 %
TV4254         0.0628 %
TV4261         0.0945 %
TV4266         0.2028 %
TV4274         0.2969 %
TV4282         0.0625 %
TV4287         0.1641 %
TV4291         0.1991 %
TV4299         0.8111 %
TV4301         0.0526 %
TV4302         0.0642 %
TV4312         0.8368 %
TV4314         0.1258 %
TV4506         0.4235 %
TV4517         0.5116 %
TV4522         0.0980 %
TV4524         0.8973 %
TV4532         0.0687 %
TV4540         0.0851 %
TV4542         0.0554 %
TV4543         0.1322 %
TV4545         0.7186 %
TV4547         0.3731 %
TV4549         0.7700 %
TV4556         0.5633 %
TV4757         0.0513 %
TV4769         0.6261 %
TV4788         0.0572 %
TV4808         0.2344 %
TV4818         0.1675 %
TV4821         0.3775 %
TV4826         0.0540 %
TV5002         0.6711 %
TV5023         0.3532 %
TV5025         0.4025 %
TV5026         0.3807 %
TV5032         0.3608 %
TV5037         0.6097 %
TV5041         0.1579 %
TV5059         0.1636 %
TV5064         0.2719 %
TV5073         0.0788 %
TV5079         0.0859 %
TV5112         0.6611 %
TV5113         0.2666 %
TV5116         0.2082 %
TV5119         0.0654 %
TV5120         0.0666 %
TV5124         0.4852 %
TV5129         0.0590 %
TV5139         0.1561 %
TV5140         0.1860 %
TV5166         0.2163 %
TV5167         0.1525 %
TV5168         0.1988 %
TV5169         0.3425 %
TV5174         0.3221 %
TV5177         0.5857 %
TV5178         0.3505 %
