7
21 268 384
268 0.035294
276 0.011765
288 0.041176
296 0.017647
304 0.047059
308 0.147059
312 0.041176
316 0.047059
323 0.011765
327 0.035294
331 0.111765
335 0.005882
339 0.029412
343 0.017647
348 0.041176
352 0.058824
360 0.064706
368 0.052941
376 0.047059
380 0.117647
384 0.017647
19 363 620
363 0.005882
375 0.023529
380 0.017647
384 0.017647
400 0.017647
409 0.017647
414 0.017647
421 0.023529
424 0.188235
428 0.029412
432 0.052941
436 0.152941
441 0.223529
445 0.058824
448 0.058824
479 0.029412
483 0.011765
484 0.017647
620 0.035294
14 404 485
404 0.035294
428 0.105882
432 0.047059
438 0.011765
442 0.070588
447 0.158824
451 0.011765
454 0.158824
458 0.229412
463 0.005882
468 0.029412
473 0.005882
479 0.052941
485 0.076471
7 153 186
153 0.082353
155 0.052941
159 0.041176
162 0.505882
164 0.282353
169 0.023529
186 0.011765
26 387 598
387 0.005882
447 0.029412
465 0.005882
468 0.041176
471 0.058824
477 0.023529
483 0.117647
487 0.017647
489 0.052941
492 0.047059
495 0.052941
496 0.035294
498 0.052941
501 0.029412
504 0.011765
507 0.029412
513 0.029412
519 0.058824
525 0.017647
528 0.023529
531 0.147059
537 0.029412
540 0.029412
549 0.035294
564 0.005882
598 0.011765
10 151 283
151 0.013333
203 0.146667
207 0.066667
231 0.060000
235 0.406667
259 0.013333
263 0.053333
267 0.180000
279 0.046667
283 0.013333
18 521 592
521 0.005882
524 0.041176
530 0.082353
536 0.035294
539 0.023529
542 0.041176
545 0.176471
548 0.029412
554 0.047059
558 0.194118
561 0.094118
564 0.041176
567 0.058824
573 0.029412
579 0.023529
582 0.023529
586 0.047059
592 0.005882
