Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV2773,9,,,,,0.000000E+00,0.8629,10,0,331,331,,,<
TV2774,9,,,,,0.000000E+00,0.9202,10,0,331,331,,,<
TV2775,9,,,,,0.000000E+00,0.9854,9,0,336,336,,,<
TV2780,10,,,,,0.000000E+00,0.9445,10,0,338,338,,,<
TV2781,10,,,,,0.000000E+00,0.9968,10,0,338,338,,,<
TV2782,8,,,,,0.000000E+00,0.7535,8,0,316,316,,,<
TV2784,9,,,,,0.000000E+00,0.8940,10,0,331,331,,,<
TV2788,10,,,,,0.000000E+00,0.8554,10,0,338,338,,,<
TV2789,9,,,,,0.000000E+00,0.9924,9,0,330,330,,,<
TV2790,10,,,,,0.000000E+00,0.9989,10,0,338,338,,,<
TV2792,10,,,,,0.000000E+00,0.9955,10,0,338,338,,,<
TV2795,10,,,,,0.000000E+00,0.9512,10,0,338,338,,,<
TV2796,6,,,,,0.000000E+00,0.9890,6,0,240,240,,,<
TV2797,10,,,,,0.000000E+00,0.9992,10,0,338,338,,,<
TV2798,9,,,,,0.000000E+00,0.9912,10,0,335,335,,,<
TV2804,10,,,,,0.000000E+00,0.9995,10,0,338,338,,,<
TV2808,9,,,,,0.000000E+00,0.9887,9,0,335,335,,,<
TV2810,10,,,,,0.000000E+00,0.8877,10,0,338,338,,,<
TV2812,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV2813,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3001,10,,,,,0.000000E+00,0.8672,10,0,338,338,,,<
TV3002,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3003,9,,,,,0.000000E+00,0.9948,9,0,330,330,,,<
TV3005,7,,,,,0.000000E+00,0.9136,7,0,311,311,,,<
TV3006,10,,,,,0.000000E+00,0.9996,10,0,338,338,,,<
TV3007,10,,,,,0.000000E+00,0.9988,10,0,338,338,,,<
TV3008,10,TV3010,10,,,1.496291E+01,0.6663,10,0,338,338,1.496291E+01,
TV3009,10,,,,,0.000000E+00,0.9986,10,0,338,338,,,<
TV3010,10,TV3008,10,,,1.496291E+01,0.3210,10,0,338,338,1.496291E+01,,<
TV3011,10,,,,,0.000000E+00,0.6692,10,0,338,338,,,<
TV3012,9,,,,,0.000000E+00,0.9617,9,0,331,331,,,<
TV3013,10,,,,,0.000000E+00,0.9970,10,0,338,338,,,<
TV3014,10,,,,,0.000000E+00,0.9999,10,0,338,338,,,<
TV3015,10,,,,,0.000000E+00,0.9999,10,0,338,338,,,<
TV3016,10,,,,,0.000000E+00,0.9718,10,0,338,338,,,<
TV3017,10,TV3001,10,TV2271,8,1.939803E+01,0.3281,10,1,338,338,6.623091E+00,9.981074E+00
TV3018,9,,,,,0.000000E+00,0.9992,10,0,331,331,,,<
TV3019,10,,,,,0.000000E+00,0.9670,10,0,338,338,,,<
TV3020,9,TV3010,10,,,1.261074E+01,0.5008,9,0,332,332,1.261074E+01,,<
TV3021,10,,,,,0.000000E+00,0.9580,10,0,338,338,,,<
TV3022,10,,,,,0.000000E+00,0.9323,10,0,338,338,,,<
TV3023,10,,,,,0.000000E+00,0.9976,10,0,338,338,,,<
TV3024,10,,,,,0.000000E+00,0.9970,10,0,338,338,,,<
TV3025,9,,,,,0.000000E+00,0.9214,9,0,332,332,,,<
TV3026,9,TV3036,10,TV3030,10,2.901673E+01,0.8004,10,0,336,336,1.072504E+01,1.568046E+01,<
TV3027,10,TV3030,10,,,1.158432E+01,0.4497,10,0,338,338,1.158432E+01,
