Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Wed Apr  5 14:15:32 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV4267         0.7207 %
TV4277         0.0614 %
TV4280         0.1002 %
TV4282         0.2543 %
TV4309         0.0578 %
TV4319         0.4340 %
TV4506         0.1378 %
TV4508         0.1057 %
TV4528         0.0605 %
TV4539         0.1079 %
TV4544         0.2683 %
TV4553         0.4905 %
TV4554         0.4861 %
TV4558         0.1645 %
TV4755         0.6510 %
TV4757         0.2527 %
TV4758         0.7370 %
TV4765         0.0643 %
TV4782         0.0701 %
TV4784         0.1531 %
TV4796         0.5588 %
TV4800         0.0551 %
TV4813         0.8299 %
TV4817         0.1316 %
TV4822         0.1354 %
TV4829         0.1388 %
TV4830         0.0949 %
TV4831         0.0598 %
TV4835         0.6102 %
TV5019         0.4353 %
TV5024         0.4489 %
TV5113         0.3724 %
TV5119         0.3041 %
TV5126         0.0721 %
TV5140         0.0520 %
TV5180         0.1033 %
TV5199         0.0698 %
TV5201         0.5910 %
TV5211         0.0694 %
TV5216         0.4533 %
TV5217         0.1710 %
TV5227         0.2082 %
TV5228         0.5310 %
TV5230         0.0808 %
TV5244         0.3128 %
TV5245         0.1035 %
TV5251         0.1149 %
TV5304         0.1377 %
TV5308         0.4885 %

TOTAL: 71

*** Locus 5 ***

TV2004         0.0783 %
TV2033         0.5293 %
TV2268         0.3238 %
TV2285         0.0903 %
TV2506         0.1218 %
TV3010         0.1942 %
TV3011         0.2192 %
TV3025         0.1413 %
TV3030         0.1171 %
TV3031         0.6277 %
TV3041         0.2528 %
TV3043         0.1745 %
TV3053         0.2645 %
TV3209         0.6557 %
TV3218         0.5700 %
TV3229         0.1960 %
TV3231         0.5105 %
TV3240         0.1808 %
TV4253         0.0912 %
TV4261         0.0634 %
TV4266         0.4654 %
TV4274         0.1643 %
TV4287         0.1536 %
TV4291         0.1357 %
TV4299         0.7688 %
TV4302         0.0520 %
TV4312         0.7425 %
TV4314         0.0613 %
TV4506         0.3334 %
TV4517         0.4705 %
TV4522         0.0592 %
TV4524         0.7337 %
TV4532         0.1110 %
TV4543         0.0546 %
TV4545         0.6706 %
TV4547         0.3860 %
TV4549         0.4748 %
TV4556         0.3366 %
TV4769         0.4395 %
TV4808         0.1595 %
TV4818         0.1037 %
TV4821         0.2908 %
TV5002         0.5406 %
TV5023         0.2908 %
TV5025         0.3042 %
TV5026         0.3115 %
TV5032         0.1880 %
TV5037         0.5566 %
TV5041         0.0991 %
TV5059         0.0895 %
TV5064         0.1818 %
TV5112         0.5697 %
TV5113         0.2079 %
TV5116         0.1088 %
TV5124         0.5213 %
TV5139         0.0799 %
TV5140         0.0520 %
TV5166         0.1226 %
TV5167         0.0671 %
TV5168         0.1783 %
TV5169         0.3195 %
TV5174         0.2474 %
TV5177         0.5456 %
TV5178         0.2431 %
TV5197         0.0711 %
TV5207         0.0729 %
TV5216         0.3133 %
TV5241         0.2485 %
TV5251         0.0825 %
TV5257         0.4970 %
TV5268         0.5638 %
TV5280         0.2718 %
TV5313         0.2926 %

TOTAL: 73

*** Locus 6 ***

TV2004         0.1837 %
TV2005         0.7694 %
TV2041         0.0628 %
TV2269         0.1666 %
TV2282         0.1205 %
TV2527         0.4533 %
TV2753         0.1443 %
TV2780         0.1869 %
TV2788         0.5245 %
TV3034         0.1374 %
TV3051         0.0755 %
TV3054         0.1718 %
TV3211         0.1625 %
TV3212         0.1676 %
TV4266         0.4636 %
TV4275         0.0561 %
TV4291         0.0684 %
TV4298         0.2429 %
TV4305         0.1398 %
TV4314         0.3854 %
TV4315         0.2602 %
TV4318         0.5519 %
TV4509         0.4297 %
TV4523         0.2158 %
TV4536         0.6007 %
TV4542         0.1026 %
TV4551         0.1858 %
TV4553         0.4905 %
TV4554         0.4742 %
TV4556         0.1112 %
TV4569         0.3297 %
TV4758         0.0539 %
TV4778         0.0991 %
TV4779         0.0577 %
TV4781         0.2434 %
TV4822         0.0620 %
TV4825         0.0957 %
TV4839         0.6664 %
TV5024         0.0680 %
TV5028         0.7888 %
TV5029         0.1639 %
TV5032         0.2878 %
TV5033         0.1241 %
TV5052         0.0803 %
TV5124         0.0645 %
TV5128         0.1605 %
TV5186         0.1231 %
TV5217         0.0983 %
TV5235         0.5287 %
TV5241         0.4164 %
TV5242         0.1561 %
TV5243         0.1458 %
TV5249         0.8660 %
TV5251         0.0753 %
TV5257         0.4709 %
TV5259         0.0985 %
TV5282         0.0759 %
TV5283         0.1082 %
TV5304         0.3011 %

TOTAL: 59

*** Locus 7 ***

TV2065         0.0561 %
TV3031         0.2241 %
TV3215         0.4864 %
TV3216         0.4073 %
TV3225         0.1186 %
TV4269         0.0678 %
TV4273         0.0894 %
TV4275         0.0563 %
TV4308         0.1582 %
TV4314         0.0663 %
TV4319         0.0548 %
TV4507         0.1026 %
TV4516         0.5033 %
TV4517         0.2087 %
TV4540         0.0899 %
TV4571         0.1976 %
TV4767         0.0851 %
TV4775         0.0931 %
TV4778         0.2669 %
TV4780         0.0695 %
TV4796         0.0728 %
TV4821         0.2289 %
TV4829         0.1643 %
TV5025         0.3026 %
TV5026         0.3279 %
TV5115         0.1953 %
TV5166         0.0523 %
TV5172         0.5045 %
TV5175         0.4489 %
TV5176         0.3077 %
TV5245         0.1394 %
TV5251         0.3827 %
TV5257         0.5926 %
TV5258         0.1324 %
TV5262         0.6556 %
TV5263         0.0731 %
TV5281         0.0695 %
TV5288         0.3380 %
TV5292         0.0570 %
TV5306         0.9697 %

TOTAL: 40

*** Locus 8 ***

TV2080         0.2772 %
TV2293         0.1563 %
TV2764         0.2342 %
TV2773         0.1767 %
TV3001         0.0810 %
TV3010         0.4725 %
TV3017         0.1195 %
TV3032         0.0506 %
TV3041         0.2753 %
TV3051         0.1071 %
TV3208         0.6487 %
TV3212         0.1242 %
TV3229         0.1960 %
TV3231         0.0546 %
TV4267         0.6079 %
TV4277         0.1756 %
TV4284         0.0656 %
