Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV3037,10,TV3038,6,,,1.039886E+01,0.4586,10,0,338,338,1.039886E+01,
TV3038,6,,,,,0.000000E+00,0.3122,6,0,240,240,,
TV3041,10,,,,,0.000000E+00,0.4590,10,0,338,338,,
TV3042,10,,,,,0.000000E+00,0.6506,10,0,338,338,,,<
TV3043,9,,,,,0.000000E+00,0.4692,9,0,331,331,,
TV3044,10,,,,,0.000000E+00,0.9955,10,0,338,338,,,<
TV3045,10,,,,,0.000000E+00,0.9840,10,0,338,338,,,<
TV3046,9,,,,,0.000000E+00,0.9110,9,0,335,335,,,<
TV3047,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV3048,10,,,,,0.000000E+00,0.9897,10,0,338,338,,,<
TV3049,10,TV3240,10,TV3042,10,2.617537E+01,0.5620,10,0,338,338,1.183271E+01,1.281337E+01,<
TV3050,10,TV3055,10,,,1.300183E+01,0.5036,10,1,338,338,1.300183E+01,
TV3051,10,,,,,0.000000E+00,0.7992,10,0,338,338,,,<
TV3052,9,,,,,0.000000E+00,0.9360,10,0,332,332,,,<
TV3053,8,,,,,0.000000E+00,0.7200,8,0,320,320,,,<
TV3054,8,,,,,0.000000E+00,0.8282,9,0,320,320,,,<
TV3055,10,,,,,0.000000E+00,0.4830,10,0,338,338,,
TV3056,10,TV3055,10,TV3049,10,1.936955E+01,0.8797,10,2,338,338,6.566377E+00,1.030309E+01,<
TV3201,9,,,,,0.000000E+00,0.5467,9,0,330,330,,
TV3202,10,TV3203,10,,,1.517963E+01,0.5001,10,0,338,338,1.517963E+01,,<
TV3203,10,,,,,0.000000E+00,0.4716,10,0,338,338,,,<
TV3204,10,,,,,0.000000E+00,0.9092,10,0,338,338,,,<
TV3205,9,,,,,0.000000E+00,0.9798,10,0,336,336,,,<
TV3206,10,,,,,0.000000E+00,0.9983,10,0,338,338,,,<
TV3208,10,TV5073,10,TV3214,10,1.252867E+01,0.5998,10,3,338,338,2.133608E+00,3.719307E+00,<
