Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Wed Apr 12 15:47:27 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV3237         0.1635 %
TV3243         0.3248 %
TV3244         0.1749 %
TV4251         0.7444 %
TV4255         0.3995 %
TV4267         0.7049 %
TV4277         0.0608 %
TV4280         0.0983 %
TV4282         0.2610 %
TV4319         0.4230 %
TV4501         0.0709 %
TV4506         0.1385 %
TV4508         0.0892 %
TV4528         0.0533 %
TV4539         0.1043 %
TV4544         0.2671 %
TV4553         0.4854 %
TV4554         0.4954 %
TV4558         0.1569 %
TV4755         0.6569 %
TV4757         0.2770 %
TV4758         0.7301 %
TV4765         0.0667 %
TV4782         0.0616 %
TV4784         0.1552 %
TV4787         0.0938 %
TV4796         0.5772 %
TV4813         0.8265 %
TV4817         0.1499 %
TV4822         0.1222 %
TV4829         0.1536 %
TV4830         0.1544 %
TV4831         0.0597 %
TV4835         0.6110 %
TV5019         0.4366 %
TV5024         0.4521 %
TV5054         0.0569 %
TV5113         0.4031 %
TV5119         0.2836 %
TV5126         0.0673 %
TV5140         0.0896 %
TV5180         0.1037 %
TV5199         0.0805 %
TV5201         0.5713 %
TV5211         0.0798 %
TV5216         0.4500 %
TV5217         0.1809 %
TV5227         0.2445 %
TV5228         0.5322 %
TV5230         0.0772 %
TV5244         0.2999 %
TV5245         0.1092 %
TV5251         0.1092 %
TV5304         0.1621 %
TV5308         0.4767 %

TOTAL: 74

*** Locus 5 ***

TV2004         0.0738 %
TV2033         0.5015 %
TV2268         0.3307 %
TV2285         0.0852 %
TV2506         0.1166 %
TV2766         0.0545 %
TV3010         0.2583 %
TV3011         0.2274 %
TV3025         0.1659 %
TV3030         0.1731 %
TV3031         0.6074 %
TV3041         0.2679 %
TV3043         0.1787 %
TV3053         0.2663 %
TV3202         0.9356 %
TV3209         0.6586 %
TV3218         0.5588 %
TV3229         0.1827 %
TV3231         0.5037 %
TV3240         0.1878 %
TV4253         0.1124 %
TV4261         0.0532 %
TV4265         0.0519 %
TV4266         0.1158 %
TV4274         0.1699 %
TV4287         0.1521 %
TV4291         0.1462 %
TV4299         0.7947 %
TV4312         0.7559 %
TV4314         0.0655 %
TV4506         0.3468 %
TV4517         0.4724 %
TV4522         0.0503 %
TV4524         0.7282 %
TV4532         0.1401 %
TV4543         0.0598 %
