Software Version            : FRANz 1.2.3
Dataset                     : cluster_1
Time of Data Analysis       : Wed Apr  5 13:59:36 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV4554         0.4905 %
TV4755         0.6835 %
TV4757         0.3291 %
TV4758         0.6888 %
TV4765         0.0522 %
TV4784         0.1558 %
TV4796         0.5446 %
TV4800         0.0553 %
TV4813         0.3581 %
TV4815         0.3536 %
TV4822         0.1264 %
TV4830         0.1234 %
TV4835         0.6307 %
TV5054         0.0533 %
TV5119         0.2931 %
TV5199         0.0816 %
TV5227         0.2268 %
TV5230         0.0640 %
TV5245         0.1110 %
TV5308         0.4575 %
TV2031         0.2367 %
TV2041         0.0544 %
TV2280         0.0674 %
TV2290         0.3933 %
TV2299         0.3589 %
TV2780         0.0645 %
TV2782         0.4447 %
TV3029         0.0809 %
TV3036         0.0588 %
TV3056         0.8851 %
TV3203         0.0679 %
TV4319         0.4381 %
TV4782         0.0694 %
TV5019         0.4247 %
TV5024         0.4565 %
TV5113         0.4088 %
TV5140         0.0610 %
TV5201         0.5413 %
TV2775         0.0729 %
TV3052         0.0523 %
TV3219         0.1140 %
TV3227         0.3332 %
TV3243         0.3245 %
TV4251         0.7387 %
TV4255         0.4002 %
TV4267         0.7277 %
TV4277         0.0672 %
TV4282         0.2441 %
TV4309         0.0574 %
TV4506         0.1486 %
TV4539         0.1045 %
TV4553         0.4843 %
TV4558         0.1755 %
TV4817         0.3137 %
TV4829         0.1470 %
TV4831         0.0655 %
TV5126         0.0696 %
TV5131         0.0501 %
TV5180         0.1119 %
TV5211         0.0695 %
TV5216         0.4546 %
TV5217         0.1828 %
TV5228         0.4972 %
TV5244         0.3192 %
TV5251         0.1426 %
TV5304         0.1494 %

TOTAL: 75

*** Locus 5 ***

TV3011         0.2203 %
TV3025         0.1460 %
TV3229         0.3459 %
TV4253         0.1217 %
TV4266         0.5937 %
TV4290         0.0674 %
TV4291         0.1516 %
TV4299         0.7796 %
TV4314         0.0696 %
TV4517         0.4622 %
TV4524         0.7272 %
TV4532         0.0811 %
TV4545         0.6825 %
TV4757         0.0958 %
TV4769         0.4651 %
TV4808         0.1381 %
TV4818         0.1044 %
TV4821         0.2766 %
TV5025         0.3044 %
TV5026         0.3141 %
TV5124         0.5283 %
TV5166         0.1118 %
TV5169         0.2995 %
TV5174         0.2445 %
TV5178         0.2366 %
TV5197         0.0675 %
TV5207         0.0701 %
TV5280         0.2932 %
TV5313         0.2956 %
TV2004         0.0809 %
TV2033         0.5431 %
TV2268         0.3216 %
TV2285         0.0840 %
TV2506         0.1410 %
TV3010         0.1315 %
TV3030         0.1410 %
TV3031         0.6182 %
TV3041         0.2591 %
TV3043         0.1797 %
TV3050         0.0538 %
TV3053         0.2512 %
TV3208         0.0509 %
TV3209         0.6674 %
TV3218         0.5427 %
TV3231         0.5602 %
TV3240         0.1622 %
TV4543         0.0624 %
TV4779         0.0518 %
TV5002         0.5683 %
TV5023         0.2798 %
TV5032         0.1579 %
TV5037         0.5338 %
TV5041         0.1098 %
TV5064         0.1975 %
TV5079         0.0502 %
TV5112         0.5375 %
TV5113         0.1784 %
TV5116         0.1063 %
TV5140         0.0610 %
TV5167         0.1035 %
TV5168         0.1836 %
TV5177         0.5584 %
TV5241         0.2224 %
TV5268         0.5555 %
TV4261         0.0804 %
TV4274         0.1711 %
